PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
299,0,0,0,-8.54,24.07,0,0,0,0
300,0,0,0,-9.3,23.73,0,0,0,0
301,0,0,0,-10.15,23.34,0,0,0,0
302,0,0,0,-11,22.81,0,0,0,0
303,0,0,0,-11.84,22.28,0,0,0,0
304,0,0,0,-12.69,21.75,0,0,0,0
305,0,0,0,-13.54,21.22,0,0,0,0
306,0,0,0,-14.39,20.69,0,0,0,0
307,0,0,0,-15.24,20.16,0,0,0,0
308,0,0,0,-16.08,19.63,0,0,0,0
309,0,0,0,-16.93,19.1,0,0,0,0
310,0,0,0,-17.78,18.57,0,0,0,0
311,0,0,0,-18.63,18.04,0,0,0,0
312,0,0,0,-19.47,17.51,0,0,0,0
313,0,0,0,-20.32,16.98,0,0,0,0
314,0,0,0,-21.17,16.45,0,0,0,0
315,0,0,0,-22.02,15.92,0,0,0,0
316,0,0,0,-22.87,15.39,0,0,0,0
317,0,0,0,-23.74,14.89,0,0,0,0
318,0,0,0,-24.59,14.38,0,0,0,0
319,0,0,0,-25.45,13.86,0,0,0,0
320,0,0,0,-26.29,13.33,0,0,0,0
321,0,0,0,-27.14,12.79,0,0,0,0
322,0,0,0,-27.98,12.25,0,0,0,0
323,0,0,0,-28.81,11.7,0,0,0,0
324,0,0,0,-29.65,11.15,0,0,0,0
325,0,0,0,-30.48,10.59,0,0,0,0
326,0,0,0,-31.31,10.03,0,0,0,0
327,0,0,0,-32.14,9.47,0,0,0,0
328,0,0,0,-32.96,8.91,0,0,0,0
329,0,0,0,-33.78,8.34,0,0,0,0
330,0,0,0,-34.6,7.76,0,0,0,0
331,0,0,0,-35.4,7.16,0,0,0,0
332,0,0,0,-36.2,6.56,0,0,0,0
333,0,0,0,-37,5.96,0,0,0,0
334,0,0,0,-37.8,5.36,0,0,0,0
335,0,0,0,-38.6,4.75,0,0,0,0
336,0,0,0,-39.4,4.15,0,0,0,0
337,0,0,0,-40.19,3.55,0,0,0,0
338,0,0,0,-40.99,2.95,0,0,0,0
339,0,0,0,-41.79,2.35,0,0,0,0
340,0,0,0,-42.26,1.99,0,0,0,0
341,0,0,0,-46.23,8.24,0,0,0,0
342,0,0,0,-45.4,8.79,0,0,0,0
343,0,0,0,-44.56,9.34,0,0,0,0
344,0,0,0,-43.73,9.89,0,0,0,0
345,0,0,0,-42.89,10.44,0,0,0,0
346,0,0,0,-42.06,11,0,0,0,0
347,0,0,0,-41.22,11.55,0,0,0,0
348,0,0,0,-40.39,12.1,0,0,0,0
349,0,0,0,-39.56,12.65,0,0,0,0
350,0,0,0,-38.72,13.2,0,0,0,0
351,0,0,0,-38.62,13.27,0,0,0,0
352,0,0,0,-37.64,13.91,0,0,0,0
353,0,0,0,-36.81,14.47,0,0,0,0
354,0,0,0,-35.97,15.01,0,0,0,0
355,0,0,0,-35.13,15.55,0,0,0,0
356,0,0,0,-34.28,16.08,0,0,0,0
357,0,0,0,-33.43,16.61,0,0,0,0
358,0,0,0,-32.58,17.13,0,0,0,0
359,0,0,0,-31.72,17.65,0,0,0,0
360,0,0,0,-30.87,18.16,0,0,0,0
361,0,0,0,-30.01,18.67,0,0,0,0
362,0,0,0,-29.14,19.17,0,0,0,0
363,0,0,0,-28.28,19.68,0,0,0,0
364,0,0,0,-27.41,20.18,0,0,0,0
365,0,0,0,-26.54,20.67,0,0,0,0
366,0,0,0,-25.67,21.16,0,0,0,0
367,0,0,0,-24.8,21.65,0,0,0,0
368,0,0,0,-24.77,21.66,0,0,0,0
369,0,0,0,-23.89,22.15,0,0,0,0
370,0,0,0,-23.02,22.64,0,0,0,0
371,0,0,0,-22.15,23.13,0,0,0,0
372,0,0,0,-21.28,23.62,0,0,0,0
373,0,0,0,-20.4,24.11,0,0,0,0
374,0,0,0,-19.53,24.59,0,0,0,0
375,0,0,0,-18.66,25.08,0,0,0,0
376,0,0,0,-17.79,25.57,0,0,0,0
377,0,0,0,-16.91,26.06,0,0,0,0
378,0,0,0,-16.04,26.55,0,0,0,0
379,0,0,0,-15.17,27.04,0,0,0,0
380,0,0,0,-14.29,27.52,0,0,0,0
381,0,0,0,-13.42,28.01,0,0,0,0
382,0,0,0,-12.55,28.5,0,0,0,0
383,0,0,0,-11.68,28.99,0,0,0,0
384,0,0,0,-10.8,29.48,0,0,0,0
385,0,0,0,-10.08,29.88,0,0,0,0
386,0,0,0,-9.16,30.28,0,0,0,0
387,0,0,0,-8.23,30.64,0,0,0,0
388,0,0,0,-7.28,30.96,0,0,0,0
389,0,0,0,-6.33,31.26,0,0,0,0
390,0,0,0,-5.36,31.53,0,0,0,0
391,0,0,0,-4.39,31.77,0,0,0,0
