34.000499	0.027368	4.822005	-0.511946	
34.100280	0.023016	4.833801	-0.500753	
34.200157	0.027616	4.817489	-0.491208	
34.300265	0.029043	4.802590	-0.505579	
34.400203	0.035685	4.796935	-0.521559	
34.500242	0.013598	4.814714	-0.543607	
34.600323	0.018100	4.803027	-0.560157	
34.699573	0.028521	4.790989	-0.582478	
34.800009	0.026174	4.775970	-0.590624	
34.899690	0.040587	4.744323	-0.620662	
35.000294	0.043067	4.716837	-0.639781	
35.099764	0.035193	4.697109	-0.665617	
35.199620	0.045356	4.673191	-0.683088	
35.300564	0.034632	4.677742	-0.696513	
35.400001	0.030617	4.646017	-0.706150	
35.500267	0.045102	4.604918	-0.735930	
35.600258	0.034789	4.613082	-0.741677	
35.700388	0.041741	4.555921	-0.761210	
35.800397	0.053449	4.524476	-0.757217	
35.899287	0.037527	4.528928	-0.768424	
35.999523	0.052228	4.453584	-0.775390	
36.100361	0.054085	4.399439	-0.782707	
36.200434	0.050436	4.412002	-0.775614	
36.300660	0.036754	4.404635	-0.776394	
36.400229	0.058871	4.343209	-0.777862	
36.500085	0.060092	4.290467	-0.764466	
36.599451	0.066559	4.256491	-0.748203	
36.699994	0.061249	4.215576	-0.730177	
36.800530	0.038748	4.137576	-0.726754	
36.899903	0.033839	4.063210	-0.728066	
37.000509	0.065933	3.993826	-0.708328	
37.099976	0.089794	3.946170	-0.680405	
37.200570	0.086661	3.841722	-0.633364	
37.300076	0.087786	3.803816	-0.585635	
37.399711	0.064874	3.749604	-0.537102	
37.499808	0.061429	3.686787	-0.507401	
37.599906	0.050241	3.623725	-0.471942	
37.700625	0.030484	3.594660	-0.456508	
37.800641	0.032701	3.560436	-0.441231	
37.900612	0.035705	3.481309	-0.433295	
38.000244	0.037172	3.446562	-0.428990	
38.100251	0.017230	3.389087	-0.424608	
38.200387	-0.002209	3.258711	-0.435400	
38.300621	0.011132	3.167602	-0.446724	
38.400206	0.020808	3.077319	-0.421746	
38.499770	0.017369	2.985570	-0.421566	
38.600149	0.011443	2.918432	-0.424744	
38.700572	0.019628	2.843530	-0.424876	
38.800214	0.017322	2.789189	-0.417627	
38.900036	0.011817	2.721090	-0.417212	
39.000131	0.020734	2.619949	-0.408940	
39.100410	0.015221	2.534544	-0.410071	
39.200369	0.015634	2.451845	-0.410758	
39.300101	0.020357	2.309017	-0.400994	
39.400272	0.005573	2.217073	-0.396572	
39.499862	0.004513	2.130673	-0.409919	
39.600375	0.016986	2.047856	-0.393891	
39.700150	0.000505	1.937029	-0.396577	
39.800384	0.001852	1.777118	-0.404620	
39.900527	0.013878	1.682823	-0.397035	
39.999501	0.015488	1.592846	-0.408632	
40.099735	0.022493	1.461400	-0.412809	
40.200865	0.009599	1.319394	-0.416597	
40.299889	0.024715	1.243410	-0.429335	
40.400069	0.019368	1.113383	-0.427897	
40.500277	0.030031	0.972687	-0.439206	
40.600224	0.021177	0.840969	-0.449648	
40.700363	0.003979	0.692839	-0.462449	
40.800047	0.019027	0.591650	-0.467338	
40.899549	0.015937	0.489543	-0.468454	
41.000196	0.013091	0.402138	-0.488441	
41.100101	0.014925	0.269865	-0.494290	
41.200149	0.015545	0.139819	-0.505990	
41.300154	0.009557	0.000935	-0.517533	
41.400180	0.013187	-0.117632	-0.530529	
41.499897	0.006865	-0.243198	-0.534434	
41.600317	0.003904	-0.391287	-0.547805	
